LastName,FirstName,Handle,Link,State,Party
Murkowski,Lisa,lisamurkowski,https://twitter.com/lisamurkowski,AK,R
Sullivan,Dan,SenDanSullivan,https://twitter.com/SenDanSullivan,AK,R
Shelby,RichardC.,SenShelby,https://twitter.com/SenShelby,AL,R
Tuberville,Tommy,SenTuberville,https://twitter.com/SenTuberville,AL,R
Boozman,John,JohnBoozman,https://twitter.com/JohnBoozman,AR,R
Cotton,Tom,SenTomCotton,https://twitter.com/SenTomCotton,AR,R
Kelly,Mark,SenMarkKelly,https://twitter.com/SenMarkKelly,AZ,D
Sinema,Kyrsten,SenatorSinema,https://twitter.com/SenatorSinema,AZ,D
Feinstein,Dianne,SenFeinstein,https://twitter.com/SenFeinstein,CA,D
Padilla,Alex,SenAlexPadilla,https://twitter.com/SenAlexPadilla,CA,D
Bennet,MichaelF.,SenatorBennet,https://twitter.com/SenatorBennet,CO,D
Hickenlooper,JohnW.,SenatorHick,https://twitter.com/SenatorHick,CO,D
Blumenthal,Richard,SenBlumenthal,https://twitter.com/SenBlumenthal,CT,D
Murphy,Christopher,ChrisMurphyCT,https://twitter.com/ChrisMurphyCT,CT,D
Carper,ThomasR.,SenatorCarper,https://twitter.com/SenatorCarper,DE,D
Coons,ChristopherA.,ChrisCoons,https://twitter.com/ChrisCoons,DE,D
Rubio,Marco,marcorubio,https://twitter.com/marcorubio,FL,R
Scott,Rick,SenRickScott,https://twitter.com/SenRickScott,FL,R
Ossoff,Jon,ossoff,https://twitter.com/ossoff,GA,D
Warnock,RaphaelG.,SenatorWarnock,https://twitter.com/SenatorWarnock,GA,D
Hirono,MazieK.,maziehirono,https://twitter.com/maziehirono,HI,D
Schatz,Brian,SenBrianSchatz,https://twitter.com/SenBrianSchatz,HI,D
Ernst,Joni,SenJoniErnst,https://twitter.com/SenJoniErnst,IA,R
Grassley,Chuck,ChuckGrassley,https://twitter.com/ChuckGrassley,IA,R
Crapo,Mike,MikeCrapo,https://twitter.com/MikeCrapo,ID,R
Risch,JamesE.,SenatorRisch,https://twitter.com/SenatorRisch,ID,R
Duckworth,Tammy,SenDuckworth,https://twitter.com/SenDuckworth,IL,D
Durbin,RichardJ.,SenatorDurbin,https://twitter.com/SenatorDurbin,IL,D
Braun,Mike,SenatorBraun,https://twitter.com/SenatorBraun,IN,R
Young,Todd,SenToddYoung,https://twitter.com/SenToddYoung,IN,R
Marshall,Roger,SenatorMarshall,https://twitter.com/SenatorMarshall,KS,R
Moran,Jerry,JerryMoran,https://twitter.com/JerryMoran,KS,R
McConnell,Mitch,senatemajldr,https://twitter.com/senatemajldr,KY,R
Paul,Rand,RandPaul,https://twitter.com/RandPaul,KY,R
